id,title,description_de,description_en,subjects,spatial,temporal,created,filetype,mimetype,rights,dataProvider,isShownAt,isShownBy,API_Endpoint
237129,0864-30b_kirchsteigfeld*_ker_03,,foto and drawing pot 0864-30b_kirchsteigfeld*_ker_03; by Jacqueline Huber/Nora Siegmeth,Irdenware | Kremprand | Mischbrand | Topf | schnell gedreht | steinchengemagert | Pot | earthenware | hooked rim | stone-tempered | throwing | Brown | DeVill | Grey | Irdenware | Kremprand | Pot | schnell gedreht | steinchengemagert | wechselhaft gebrannt | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),0864-30b_kirchsteigfeld*_ker_03,1300-1450,2024-09-20,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237129.svg,https://thanados.openatlas.eu/api/display/237129,https://thanados.openatlas.eu/api/entity/237129
237126,0864-30b_kirchsteigfeld*_ker_02,,foto and drawing pot 0864-30b_kirchsteigfeld*_ker_02; by Jacqueline Huber/Nora Siegmeth,Irdenware | Kremprand | Reduktionsbrand | Topf | schnell gedreht | steinchengemagert | Pot | earthenware | hooked rim | stone-tempered | throwing | DeVill | Grey | Irdenware | Kremprand | Late Middle Ages | Pot | reduzierend gebrannt | schnell gedreht | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),0864-30b_kirchsteigfeld*_ker_02,1300-1400 | Late Middle Ages,2024-09-20,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237126.svg,https://thanados.openatlas.eu/api/display/237126,https://thanados.openatlas.eu/api/entity/237126
237109,1093-10b_hof_zu_neudegg_ker_02,,foto and drawing pot 1093-10b_hof_zu_neudegg_ker_02; by Jacqueline Huber/Nora Siegmeth,Irdenware | Kremprand | Reduktionsbrand | Topf | schnell gedreht | steinchengemagert | Pot | earthenware | hooked rim | stone-tempered | throwing | DeVill | Grey | Irdenware | Kremprand | Late Middle Ages | Pot | reduzierend gebrannt | schnell gedreht | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),1093-10b_hof_zu_neudegg_ker_02,1300-1450 | Late Middle Ages,2024-09-17,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237109.svg,https://thanados.openatlas.eu/api/display/237109,https://thanados.openatlas.eu/api/entity/237109
236858,0842-10b_jässwein_gla_01,,foto and drawing glass fragment 0842-10b_jaesswein_gla_01; by Jacqueline Huber/Nora Siegmeth,DeVill | Glass Vessel | Modern Age | Translucent | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),0842-10b_jässwein_gla_01,1800-1950 | Modern Age,2024-09-12,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/236858.svg,https://thanados.openatlas.eu/api/display/236858,https://thanados.openatlas.eu/api/entity/236858
236855,0842-10b_jässwein_ker_02,,foto and drawing stove tile 0842-10b_jaesswein_ker_02; by Jacqueline Huber/Nora Siegmeth,Irdenware | Ofenkachel | Oxidationsbrand | in die Form gebildeter Dekor | steinchengemagert | Stove Tile | earthenware | stone-tempered | Carmine-brown | DeVill | Formhilfe | Irdenware | Late Middle Ages | Stove Tile | in die Form gebildeter Dekor | oxidierend gebrannt | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),0842-10b_jässwein_ker_02,Late Middle Ages,2024-09-12,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/236855.svg,https://thanados.openatlas.eu/api/display/236855,https://thanados.openatlas.eu/api/entity/236855
232931,0410-10b_ertprust,"Datenerhebung Kurt Bors, digitale Version Jacqueline Huber/Nora Siegmeth.","Data acquisition by Kurt Bors, digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Ertprust,,2024-08-07,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/232931.pdf,https://thanados.openatlas.eu/api/display/232931,https://thanados.openatlas.eu/api/entity/232931
237106,1093-10b_hof_zu_neudegg_ker_01,,foto and drawing pot 1093-10b_hof_zu_neudegg_ker_01; by Jacqueline Huber/Nora Siegmeth,Irdenware | Kremprand | Reduktionsbrand | Topf | schnell gedreht | steinchengemagert | Pot | earthenware | hooked rim | stone-tempered | throwing | DeVill | Grey | Irdenware | Kremprand | Late Middle Ages | Pot | reduzierend gebrannt | schnell gedreht | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),1093-10b_hof_zu_neudegg_ker_01,1300-1400 | Late Middle Ages,2024-09-17,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237106.svg,https://thanados.openatlas.eu/api/display/237106,https://thanados.openatlas.eu/api/entity/237106
237092,1093-10b_hof zu neudegg_geschwärzt,Scan 1093-10b_hof zu neudegg_geschwärzt; Umfang: 5 Seiten; Aufnahmeblatt Kurt Bors; Datenakquisition Kurt Bors; digitale Version Jacqueline Huber/Nora Siegmeth,Scan 1093-10b_hof zu neudegg_geschwaerzt; number of pages: 5; questionnaire by Kurt Bors; data acquisition by Kurt Bors; digital version by Jacqueline Huber/Nora Siegmeth,Abandoned Farmstead | DeVill | Late Middle Ages | Strayfinds | Survey | Written Sources,Austria | Dürnstein | Hof zu Neudegg | Krems (Land) | Niederösterreich | Unterloiben,1250-1500 | Late Middle Ages,2024-09-17,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/237092.pdf,https://thanados.openatlas.eu/api/display/237092,https://thanados.openatlas.eu/api/entity/237092
235418,0908-10b_lauffenberg,"Datenerhebung N.N., digitale Version Jacqueline Huber/Nora Siegmeth.","Data acquisition by N.N, digital version by Jacqueline Huber/Nora Siegmeth.",Wüstung | Abandoned Village | Abandoned Village | DeVill | https://vocab.getty.edu/aat/300167671 | https://www.wikidata.org/entity/Q350895,Lauffenberg,,2024-08-30,pdf,application/pdf,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/235418.pdf,https://thanados.openatlas.eu/api/display/235418,https://thanados.openatlas.eu/api/entity/235418
235400,1823-20b_trennau*_ker_02,Foto und Profilzeichnung Henkeltopf (?) 1823-20b_trennau*_ker_02; Jacqueline Huber/Nora Siegmeth,foto and drawing handled jar (?) 1823-20b_trennau*_ker_02; by Jacqueline Huber/Nora Siegmeth,Irdenware | Reduktionsbrand | Wandfragment | schnell gedreht | steil ansteigende Schulter | steinchengemagert | Wallfragment | earthenware | stone-tempered | throwing | DeVill | Grey | Irdenware | Modern Age | Wandfragment | reduzierend gebrannt | schnell gedreht | steil ansteigende Schulter | steinchengemagert | Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie (ÖGMN),1823-20b_trennau*_ker_02,Modern Age,2024-08-30,svg,image/svg+xml,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,Österreichische Gesellschaft für Mittelalter- und Neuzeitarchäologie,https://devill.oegmn.or.at/file/235400.svg,https://thanados.openatlas.eu/api/display/235400,https://thanados.openatlas.eu/api/entity/235400
