file_id,filename,file_label,object_id,object_name
207672,207672.pdf,wuestungslisten_kl_A-L,203124,Phlaetnitz
207673,207673.pdf,wuestungslisten_kl_M-Z,203124,Phlaetnitz
251472,251472.pdf,1272-10b_phlaetniz,203124,Phlaetnitz
207673,207673.pdf,wuestungslisten_kl_M-Z,203126,Piekenreut
251473,251473.pdf,1273-10b_piekenreut,203126,Piekenreut
207673,207673.pdf,wuestungslisten_kl_M-Z,203128,Pielach
251477,251477.pdf,1274-10b_pielach,203128,Pielach
207673,207673.pdf,wuestungslisten_kl_M-Z,203132,Pigartinpach
251479,251479.pdf,1275-10b_pigartinpach,203132,Pigartinpach
207673,207673.pdf,wuestungslisten_kl_M-Z,203134,Pihra
207668,207668.pdf,wuestungsarchiv_konzeption_organisatio_arbeitsplanung,203134,Pihra
251480,251480.pdf,1276-10b_pihra,203134,Pihra
215465,215465.pdf,Wüstungsarchiv des Archivs für Mittelalterarchäologie,203134,Pihra
207673,207673.pdf,wuestungslisten_kl_M-Z,203136,Pilahegemunde
251600,251600.pdf,1277-10b_pilahegemunde_geschwärzt,203136,Pilahegemunde
207673,207673.pdf,wuestungslisten_kl_M-Z,203138,Pilgram
251603,251603.pdf,1278-10b_pilgram,203138,Pilgram
207673,207673.pdf,wuestungslisten_kl_M-Z,203152,Pilgreimenslage
251606,251606.pdf,1279-10b_pilgreimenslage,203152,Pilgreimenslage
207673,207673.pdf,wuestungslisten_kl_M-Z,203154,Pilgreims
251608,251608.pdf,1280-10b_pilgreims,203154,Pilgreims
207673,207673.pdf,wuestungslisten_kl_M-Z,203156,Pillinchirchen
251609,251609.pdf,1281-10b_pillinchirchen,203156,Pillinchirchen
207673,207673.pdf,wuestungslisten_kl_M-Z,203158,Pillingbach
251612,251612.pdf,1282-10b_pillingpach,203158,Pillingbach
207673,207673.pdf,wuestungslisten_kl_M-Z,203160,Pilstein
251621,251621.pdf,1283-10b_pilstein,203160,Pilstein
207673,207673.pdf,wuestungslisten_kl_M-Z,203162,Pinizporz
