parent_id,name,id,type,path,description,begin_from,begin_to,end_from,end_to,class,geometry,lon,lat,devill_endpoint,API_Endpoint
,castrum Heidberch,200476,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0684-10b Heidberch, castrum",,,,,place,,,,https://devill.oegmn.or.at/entity/200476,https://thanados.openatlas.eu/api/entity/200476
,Heinrichsteten,200478,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0692-10b Heinrichsteten,,,,,place,,,,https://devill.oegmn.or.at/entity/200478,https://thanados.openatlas.eu/api/entity/200478
,Heireichs de,200480,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0693-10b Heireichs de,,,,,place,,,,https://devill.oegmn.or.at/entity/200480,https://thanados.openatlas.eu/api/entity/200480
,Hendorf,200482,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0699-10b Hendorf,,,,,place,,,,https://devill.oegmn.or.at/entity/200482,https://thanados.openatlas.eu/api/entity/200482
,Haaberg,200484,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0602-20b Haaberg
(ohne Skizze, anhand der Parzellen verortet)",,,,,place,"{""type"":""Polygon"",""coordinates"":[[[16.016049385,48.20021462],[16.014772654,48.199864215],[16.013925076,48.199742646],[16.013152599,48.199778402],[16.012433767,48.200014389],[16.012047529,48.200493512],[16.011918783,48.201036988],[16.011961699,48.201559007],[16.012519598,48.201866495],[16.013592482,48.202188282],[16.014332771,48.202231187],[16.015169621,48.202216885],[16.015899181,48.202116774],[16.016392708,48.201930852],[16.016714573,48.201680572],[16.016864777,48.201337328],[16.016864777,48.201022686],[16.016736031,48.200615079],[16.016478539,48.200400548],[16.016049385,48.20021462]]]}",48.2008188825,16.014385427401315,https://devill.oegmn.or.at/entity/200484,https://thanados.openatlas.eu/api/entity/200484
,Habeldorf,200486,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0603-10b Habeldorf,,,,,place,,,,https://devill.oegmn.or.at/entity/200486,https://thanados.openatlas.eu/api/entity/200486
,Habesperc,200488,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0604-10b Habesperc,,,,,place,,,,https://devill.oegmn.or.at/entity/200488,https://thanados.openatlas.eu/api/entity/200488
,Hachenfeld*,200490,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0605-20b Hachenfeld*,900,1000,1550,1700,place,"{""type"":""Polygon"",""coordinates"":[[[15.941937268,48.231616143],[15.94175756,48.231614356],[15.941610038,48.231580409],[15.941500068,48.231532169],[15.941408873,48.231482142],[15.941341817,48.231366007],[15.941288173,48.231199846],[15.94129622,48.231022963],[15.941347182,48.230887174],[15.941435695,48.230779972],[15.941599309,48.230697783],[15.941803157,48.230649542],[15.9422189,48.230642395],[15.943415165,48.230651329],[15.943938196,48.230674556],[15.944139361,48.230719224],[15.944286883,48.230776398],[15.944431722,48.230892534],[15.944549739,48.231010456],[15.944592655,48.231171258],[15.944571197,48.231298113],[15.944522917,48.231383874],[15.944410264,48.231462488],[15.944235921,48.231523235],[15.944024026,48.231533956],[15.943621695,48.231553609],[15.942792892,48.231575049],[15.941937268,48.231616143]]]}",48.2310971105,15.942932856380603,https://devill.oegmn.or.at/entity/200490,https://thanados.openatlas.eu/api/entity/200490
,Hademarescella,200492,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,0606-10b Hademarescella,,,,,place,,,,https://devill.oegmn.or.at/entity/200492,https://thanados.openatlas.eu/api/entity/200492
,Hadmars,200494,Abandoned Village,Place > Settlement > Permanent Settlement > Rural Settlement > Village > Abandoned Village,"0607-10b Hadmars
HONB H20",,,,,place,"{""type"":""Polygon"",""coordinates"":[[[15.37555933,48.783388236],[15.376149416,48.783342285],[15.376830697,48.783123136],[15.377168655,48.782882778],[15.377388597,48.782617675],[15.37749052,48.78229955],[15.377334952,48.782055653],[15.377029181,48.781907193],[15.376498103,48.781758733],[15.375730991,48.78149009],[15.374845862,48.781341628],[15.374416709,48.781362837],[15.373923182,48.781546646],[15.373542309,48.781861241],[15.373322368,48.782076861],[15.37325263,48.782327828],[15.373386741,48.78261414],[15.373671055,48.782843896],[15.374110937,48.783091324],[15.374513268,48.783246849],[15.374996066,48.783352889],[15.375258923,48.783384701],[15.37555933,48.783388236]]]}",48.782470984,15.375377640168338,https://devill.oegmn.or.at/entity/200494,https://thanados.openatlas.eu/api/entity/200494
